Plate Number,Position,Name,Control Z-score,VCR Z-score
1,A2,ath-miR416,0.110174855,0.319698359
1,B2,cel-miR-243,-0.066076785,-0.06595584
1,G2,hsa-let-7a,-0.525681269,-0.20907803
1,E2,hsa-let-7a,-0.431867334,0.071620348
1,C2,hsa-let-7a,0.27664449,-0.018886593
1,F2,hsa-let-7a-2*,-0.281663875,-0.169332699
1,H2,hsa-let-7a*,-0.49343757,-0.056819225
1,D2,hsa-let-7a*,-0.270521776,-0.504322981
1,A3,hsa-let-7b,0.411088195,0.299955831
1,B3,hsa-let-7b*,0.230489717,0.152859337
1,C3,hsa-let-7c,0.50860917,-0.097120093
1,D3,hsa-let-7d,-0.346950031,-0.551140299
1,E3,hsa-let-7d*,-0.263941371,-0.012356273
1,F3,hsa-let-7e,-0.255807516,-0.239763658
1,G3,hsa-let-7e*,-0.631684379,-0.056594045
1,H3,hsa-let-7f,-0.489601541,0.054778043
1,B4,hsa-let-7f,0.412934827,-0.258318725
1,A4,hsa-let-7f-1*,0.050469511,0.012585629
1,C4,hsa-let-7f-2*,0.650744868,-0.295153307
1,D4,hsa-let-7g,0.075417472,-0.406980682
1,E4,hsa-let-7g*,0.351966593,-0.340402185
1,F4,hsa-let-7i,0.477567821,-0.241253195
1,G4,hsa-let-7i*,0.146730711,0.054205105
1,G7,hsa-miR-1,0.044247573,0.18176349
1,B9,hsa-miR-1,0.746533869,0.673607596
1,H4,hsa-miR-100,-0.203112481,-0.193737517
1,A5,hsa-miR-100*,-0.196089103,0.037227559
1,C5,hsa-miR-101,0.60781486,0.149686967
1,D5,hsa-miR-101,0.127271289,-0.461256036
1,B5,hsa-miR-101*,0.333673755,0.12268035
1,H5,hsa-miR-103a,-0.201470956,0.111125326
1,E5,hsa-miR-103a,0.263389848,-0.260492111
1,G5,hsa-miR-103a-2*,0.252337035,0.122860125
1,A6,hsa-miR-103b,0.426827833,0.288357782
1,F5,hsa-miR-103b,0.063908699,-0.007688039
1,D6,hsa-miR-105,-0.495803871,0.086637496
1,B6,hsa-miR-105,-0.217805036,-0.047821493
1,E6,hsa-miR-105*,-0.133994029,0.459234014
1,C6,hsa-miR-105*,-0.020406501,0.150912154
1,F6,hsa-miR-106a,0.063566736,0.557991623
1,G6,hsa-miR-106a*,-0.476416628,0.344234188
1,H6,hsa-miR-106b,-0.486664163,0.407361861
1,A7,hsa-miR-106b*,0.726023972,0.423481272
1,B7,hsa-miR-107,0.132307694,-0.124142428
1,C7,hsa-miR-10a,0.587753109,0.164276664
1,D7,hsa-miR-10a*,0.319781761,-0.191476293
1,E7,hsa-miR-10b,0.294888047,0.197648265
1,F7,hsa-miR-10b*,0.327096093,0.165041589
1,H7,hsa-miR-1178,0.505447888,0.108511981
1,A8,hsa-miR-1179,0.391873337,0.635344758
1,B8,hsa-miR-1180,0.479887337,-0.31701115
1,C8,hsa-miR-1181,1.053074077,0.676864635
1,D8,hsa-miR-1182,0.466333537,0.819706819
1,E8,hsa-miR-1183,0.467140822,0.821458125
1,F8,hsa-miR-1184,0.82028712,0.808891679
1,G8,hsa-miR-1185,-0.118273293,0.754175006
1,H8,hsa-miR-1185,0.422723262,0.557659154
1,A9,hsa-miR-1197,1.049176558,0.638944833
1,C9,hsa-miR-1200,0.788894394,0.926825709
1,D9,hsa-miR-1202,0.230590582,0.634709333
1,E9,hsa-miR-1203,0.247097491,0.9144945
1,F9,hsa-miR-1204,-0.080706506,0.828491439
1,G9,hsa-miR-1205,0.504485549,1.080597462
1,H9,hsa-miR-1206,0.887524791,0.50924993
1,B10,hsa-miR-1207-3p,0.571981139,0.746810922
1,A10,hsa-miR-1207-5p,0.656246595,1.270624795
1,C10,hsa-miR-1208,0.320691328,1.013732302
1,D10,hsa-miR-122*,-0.255746827,0.825916472
1,F10,hsa-miR-1224-3p,0.034201479,0.870748996
1,E10,hsa-miR-1224-5p,-0.514074241,0.538832158
1,H10,hsa-miR-1225-3p,0.574619517,0.83726788
1,G10,hsa-miR-1225-5p,-0.314538115,1.27405218
1,B11,hsa-miR-1226,0.465135123,0.618409843
1,A11,hsa-miR-1226*,0.73072792,1.09106992
1,C11,hsa-miR-1227,0.651634913,0.518507351
1,E11,hsa-miR-1228,0.760531507,0.291234848
1,D11,hsa-miR-1228*,0.2815112,0.417252039
1,F11,hsa-miR-1229,0.897161939,0.592253702
1,G11,hsa-miR-1231,0.537997637,0.627733359
1,H11,hsa-miR-1233,1.003464802,0.040278646
2,A2,ath-miR416,0.139939738,0.138392461
2,B2,cel-miR-243,-0.095841668,0.570485525
2,C2,hsa-miR-1234,-0.265005644,0.734262792
2,D2,hsa-miR-1236,-0.239790582,0.296356889
2,E2,hsa-miR-1237,-0.054546429,0.514720849
2,F2,hsa-miR-1238,-0.156206127,0.650106699
2,B3,hsa-miR-124,-0.479317438,0.551135217
2,H2,hsa-miR-124,-0.409685589,0.230369102
2,E3,hsa-miR-124,0.055921989,0.201231971
2,D3,hsa-miR-124*,0.046687378,0.605388027
2,A3,hsa-miR-124*,-0.444946844,0.761473812
2,G2,hsa-miR-124*,-0.133074957,0.147149874
2,C3,hsa-miR-1243,0.140053393,0.5872552
2,F3,hsa-miR-1244,-0.119347224,0.354302044
2,G3,hsa-miR-1245,0.059450193,0.502174617
2,H3,hsa-miR-1246,0.406728376,0.031056804
2,A4,hsa-miR-1247,-0.59690345,0.718320787
2,B4,hsa-miR-1248,-0.612186158,0.17671013
2,C4,hsa-miR-1249,-0.370949384,0.75981157
2,D4,hsa-miR-1250,-0.397989117,-0.543702686
2,E4,hsa-miR-1251,-0.234924851,0.829767426
2,F4,hsa-miR-1252,-0.541772759,0.203151409
2,G4,hsa-miR-1253,-0.384655604,0.235005455
2,H4,hsa-miR-1254,-0.150534022,-0.019378375
2,A5,hsa-miR-1255a,-0.621242403,0.653509917
2,B5,hsa-miR-1255b,-0.213501482,0.968370478
2,C5,hsa-miR-1255b,-0.046453131,1.13598169
2,D5,hsa-miR-1256,-0.928349792,0.79165384
2,E5,hsa-miR-1257,-0.800527712,0.802731198
2,F5,hsa-miR-1258,0.11088927,1.001821145
2,H5,hsa-miR-125a-3p,-0.163847704,0.576657894
2,G5,hsa-miR-125a-5p,-0.672142438,0.802421513
2,A6,hsa-miR-125b,0.150150568,1.207170858
2,C6,hsa-miR-125b,0.592197824,1.049314473
2,B6,hsa-miR-125b-1*,-0.108493442,0.59815246
2,D6,hsa-miR-125b-2*,-0.224469578,0.949780752
2,F6,hsa-miR-126,0.111071666,0.872110442
2,E6,hsa-miR-126*,0.140954642,0.808340355
2,G6,hsa-miR-1260,-0.084538385,0.929952007
2,H6,hsa-miR-1261,0.376199765,0.739349871
2,A7,hsa-miR-1262,0.118288327,1.114538453
2,B7,hsa-miR-1263,0.188977934,0.856864565
2,C7,hsa-miR-1264,0.517462089,1.376033319
2,D7,hsa-miR-1265,0.1940993,1.061958901
2,E7,hsa-miR-1266,-1.239618758,-1.383264172
2,F7,hsa-miR-1267,0.575258712,1.224499192
2,G7,hsa-miR-1268,0.267822732,1.047451435
2,H7,hsa-miR-1269,0.449298536,0.872683352
2,B8,hsa-miR-127-3p,-0.34231749,1.269325522
2,A8,hsa-miR-127-5p,0.203263222,1.049999429
2,C8,hsa-miR-1270,-0.033738933,1.285526235
2,D8,hsa-miR-1271,-0.123449083,1.021410792
2,E8,hsa-miR-1272,-0.85319536,0.765082032
2,F8,hsa-miR-1273,0.394373817,1.537773738
2,G8,hsa-miR-1275,0.207537533,0.812999039
2,H8,hsa-miR-1276,0.500107962,0.79666387
2,A9,hsa-miR-1277,0.435994294,1.50387549
2,B9,hsa-miR-1278,0.480882302,1.180926601
2,C9,hsa-miR-1279,0.480730951,1.165154487
2,F9,hsa-miR-128,0.03318162,1.113337233
2,H9,hsa-miR-128,0.048260908,0.869838565
2,D9,hsa-miR-1280,0.254530033,1.12958076
2,E9,hsa-miR-1281,-0.453008017,1.047585063
2,G9,hsa-miR-1282,0.02523574,1.051408961
2,A10,hsa-miR-1283,0.04531203,1.722044731
2,B10,hsa-miR-1283,-0.372643679,1.220570293
2,C10,hsa-miR-1284,0.16755001,1.492810809
2,E10,hsa-miR-1285,-0.149927851,1.51121151
2,D10,hsa-miR-1285,-0.040964908,1.391030527
2,F10,hsa-miR-1286,0.255403315,1.271842036
2,G10,hsa-miR-1287,-0.234267761,1.01383907
2,H10,hsa-miR-1288,0.528611543,0.436371371
2,B11,hsa-miR-1289,-0.031342401,1.180866995
2,A11,hsa-miR-1289,0.351935969,1.378529393
2,E11,hsa-miR-129-5p,-0.359449149,0.723190326
2,H11,hsa-miR-129-5p,0.58603245,0.634433428
2,F11,hsa-miR-129*,-0.160726249,1.128872265
2,C11,hsa-miR-1290,0.222985653,0.963196341
2,D11,hsa-miR-1291,-0.182537622,0.683205798
2,G11,hsa-miR-1292,-0.046784221,0.642006059
3,A2,ath-miR416,0.124666459,0.567087157
3,B2,cel-miR-243,-0.080568389,-0.313344638
3,C2,hsa-miR-129-3p,-0.014317422,0.223107067
3,D2,hsa-miR-1293,-0.676068629,0.165332028
3,E2,hsa-miR-1294,-0.58441117,0.293966486
3,F2,hsa-miR-1295,-0.699192501,-0.543061605
3,G2,hsa-miR-1296,-1.062069035,0.12966782
3,H2,hsa-miR-1297,-0.627846318,0.300400806
3,A3,hsa-miR-1298,0.721114962,0.104073393
3,B3,hsa-miR-1299,0.804829967,0.399856867
3,C3,hsa-miR-1301,0.573901562,0.346233778
3,D3,hsa-miR-1302,-0.489179946,0.278527968
3,H3,hsa-miR-1302,-0.391505925,0.240287443
3,G3,hsa-miR-1302,-0.381749772,0.158962126
3,C4,hsa-miR-1302,-0.168329953,-0.075213095
3,E3,hsa-miR-1302,-0.139325895,-0.092283257
3,B4,hsa-miR-1302,-0.121381492,-0.103162222
3,F3,hsa-miR-1302,-0.08151146,-0.121154196
3,A4,hsa-miR-1302,0.682147893,0.163524039
3,D4,hsa-miR-1303,-1.1810516,-0.022907852
3,E4,hsa-miR-1304,-0.84915427,-0.083561378
3,F4,hsa-miR-1305,-0.591202025,0.19914897
3,G4,hsa-miR-1306,-0.892380694,0.41560914
3,H4,hsa-miR-1307,-0.511862953,0.090928244
3,B5,hsa-miR-130a,0.808194208,0.601217261
3,A5,hsa-miR-130a*,0.891677721,0.270562214
3,D5,hsa-miR-130b,-0.617409089,-0.183904877
3,C5,hsa-miR-130b*,0.276135176,-0.173716401
3,F5,hsa-miR-132,-0.077860471,-0.151475224
3,E5,hsa-miR-132*,-0.48280931,-0.364539563
3,G5,hsa-miR-1321,-0.311527881,0.261165219
3,H5,hsa-miR-1322,-0.502194056,0.459771563
3,A6,hsa-miR-1323,1.086820502,0.425923613
3,B6,hsa-miR-1324,0.694775019,0.432006082
3,D6,hsa-miR-133a,-0.228863651,0.473613014
3,C6,hsa-miR-133a,-0.325829413,-0.114180266
3,E6,hsa-miR-133b,-0.50230845,0.074579972
3,F6,hsa-miR-134,0.464586196,-0.141512277
3,G6,hsa-miR-135a,0.152029361,1.090252091
3,A7,hsa-miR-135a,0.99825838,1.085252901
3,H6,hsa-miR-135a*,-0.778947905,0.062203251
3,B7,hsa-miR-135b,1.034375982,1.238922468
3,C7,hsa-miR-135b*,0.631194478,0.350966445
3,D7,hsa-miR-136,-0.248336533,1.012236371
3,E7,hsa-miR-136*,0.504507059,0.979270639
3,F7,hsa-miR-137,0.962078407,1.218817593
3,G7,hsa-miR-138,0.398923121,1.190675389
3,A8,hsa-miR-138,1.104237684,-0.034175219
3,H7,hsa-miR-138-1*,-0.191184461,1.089440587
3,B8,hsa-miR-138-2*,0.34796411,1.158109673
3,D8,hsa-miR-139-3p,-0.207597262,0.952651374
3,C8,hsa-miR-139-5p,0.285981973,1.052780139
3,F8,hsa-miR-140-3p,-0.154043254,0.678985429
3,E8,hsa-miR-140-5p,-0.614100734,0.866819223
3,H8,hsa-miR-141,-0.53695484,0.949842711
3,G8,hsa-miR-141*,-0.714959313,0.912324721
3,B9,hsa-miR-142-3p,0.842106727,1.274924438
3,A9,hsa-miR-142-5p,1.331740315,1.622965591
3,D9,hsa-miR-143,0.452594141,1.297105081
3,C9,hsa-miR-143*,0.881182371,1.010760439
3,F9,hsa-miR-144,-0.09159949,1.078864307
3,E9,hsa-miR-144*,-0.165223544,1.131150313
3,G9,hsa-miR-145,-0.344368926,0.780891473
3,H9,hsa-miR-145*,-0.602251501,1.29773188
3,A10,hsa-miR-1468,1.223277987,1.663234466
3,B10,hsa-miR-1469,0.505568202,1.207231818
3,C10,hsa-miR-146a,0.095840088,0.910801302
3,D10,hsa-miR-146a*,-0.051490935,1.141495922
3,F10,hsa-miR-146b-3p,0.143666534,1.129555295
3,E10,hsa-miR-146b-5p,0.024912962,0.74410456
3,G10,hsa-miR-147,0.05458557,0.856417599
3,H10,hsa-miR-1470,-0.158004971,0.839338678
3,A11,hsa-miR-1471,1.202865922,1.058217657
3,B11,hsa-miR-147b,0.866604984,0.780903372
3,D11,hsa-miR-148a,0.629722429,0.642303739
3,C11,hsa-miR-148a*,0.996592268,0.520040496
3,F11,hsa-miR-148b,0.044884282,0.6147323
3,E11,hsa-miR-148b*,0.239095468,0.453495334
3,G11,hsa-miR-149,-0.199540223,0.680443395
3,H11,hsa-miR-149*,-0.150174814,1.000218314
4,A2,ath-miR416,0.191636723,0.336414623
4,B2,cel-miR-243,-0.147538653,-0.082672104
4,C2,hsa-miR-150,-0.092941996,-0.395900363
4,D2,hsa-miR-150*,-1.220781532,-1.024597283
4,F2,hsa-miR-151-3p,-0.682548764,-0.847835518
4,E2,hsa-miR-151-5p,-0.979015083,-0.435117477
4,G2,hsa-miR-152,-1.139889775,-1.207408374
4,H2,hsa-miR-153,-1.047184925,-0.695565061
4,A3,hsa-miR-153,0.025008756,-0.43157644
4,B3,hsa-miR-1537,0.060954553,-0.325443871
4,C3,hsa-miR-1538,0.038084171,-0.287099587
4,D3,hsa-miR-1539,-0.641236049,-0.661472906
4,E3,hsa-miR-154,-0.331614046,-0.581086236
4,F3,hsa-miR-154*,-0.623442323,-1.126695906
4,G3,hsa-miR-155,-0.416025625,-0.641427958
4,H3,hsa-miR-155*,-0.947116147,-0.686967624
4,A4,hsa-miR-15a,-0.182012157,-0.673442852
4,B4,hsa-miR-15a*,-1.003479983,-0.319204119
4,C4,hsa-miR-15b,-0.35528657,-0.927010475
4,D4,hsa-miR-15b*,-1.57325789,-1.06287797
4,E4,hsa-miR-16,-1.231251516,-0.853047883
4,G4,hsa-miR-16,-0.89527547,-0.815358151
4,F4,hsa-miR-16-1*,-1.016784154,-1.164669399
4,H4,hsa-miR-16-2*,-0.424665424,-0.629569402
4,A5,hsa-miR-17,-0.513788799,-0.724427555
4,B5,hsa-miR-17*,-0.245667655,-0.036704065
4,C5,hsa-miR-181a,-0.282298988,-0.134242712
4,E5,hsa-miR-181a,-0.306408849,-0.548281696
4,F5,hsa-miR-181a-2*,-0.292405002,-0.446990337
4,D5,hsa-miR-181a*,-0.560114153,-0.79577932
4,H5,hsa-miR-181b,-0.315665591,-0.564286722
4,G5,hsa-miR-181b,-0.543114837,-1.090170223
4,A6,hsa-miR-181c,-0.522446593,-0.113293494
4,B6,hsa-miR-181c*,0.097757799,0.059435331
4,C6,hsa-miR-181d,-0.448965629,-0.376280258
4,D6,hsa-miR-182,-0.765274309,-0.693505274
4,E6,hsa-miR-182*,-1.081466706,-0.497704543
4,F6,hsa-miR-1825,-0.909033633,-0.200278122
4,G6,hsa-miR-1827,-0.824244547,0.033433273
4,H6,hsa-miR-183,-0.917024165,-0.327139598
4,A7,hsa-miR-183*,-0.16962341,-0.241272376
4,B7,hsa-miR-184,0.331805997,0.081469703
4,C7,hsa-miR-185,-0.219513704,0.104665668
4,D7,hsa-miR-185*,-0.438162667,-0.247221933
4,E7,hsa-miR-186,-0.075384338,-0.462196944
4,F7,hsa-miR-186*,-0.685777118,-0.056565087
4,H7,hsa-miR-187,-0.841747012,-0.134375708
4,G7,hsa-miR-187*,-0.795480795,-0.043912089
4,B8,hsa-miR-188-3p,0.309155615,-0.060920454
4,A8,hsa-miR-188-5p,-0.480942366,0.211755768
4,C8,hsa-miR-18a,-0.949872533,-0.071900469
4,D8,hsa-miR-18a*,-0.713436509,0.033926646
4,E8,hsa-miR-18b,-0.868759163,-0.066312299
4,F8,hsa-miR-18b*,-1.150945064,0.060336625
4,G8,hsa-miR-190,-0.767753344,-0.26477439
4,H8,hsa-miR-1908,-0.71707832,0.085033491
4,B9,hsa-miR-1909,0.34069347,0.015589606
4,A9,hsa-miR-1909*,-0.174833057,0.365992853
4,C9,hsa-miR-190b,0.155487962,-0.178193978
4,D9,hsa-miR-191,-0.731661701,-0.296285227
4,E9,hsa-miR-191*,-0.64054499,-0.126073631
4,F9,hsa-miR-1910,-1.263702273,-0.482083531
4,G9,hsa-miR-1911,-0.814151877,-0.372854384
4,H9,hsa-miR-1911*,-1.086321,-0.448126303
4,A10,hsa-miR-1912,0.273264298,0.336677439
4,B10,hsa-miR-1913,0.239737931,-0.070301969
4,C10,hsa-miR-1914,-0.152164024,-0.486545684
4,D10,hsa-miR-1914*,-0.743226673,-0.452538925
4,F10,hsa-miR-1915,-1.485525222,-0.57125966
4,E10,hsa-miR-1915*,-1.052304122,-0.226008058
4,G10,hsa-miR-192,-1.137943268,-0.375870494
4,H10,hsa-miR-192*,-0.535818623,-0.666560946
4,B11,hsa-miR-193a-3p,1.059719108,0.102883698
4,A11,hsa-miR-193a-5p,1.05210989,0.049644051
4,D11,hsa-miR-193b,-0.002407774,-1.077164918
4,C11,hsa-miR-193b*,0.554798969,-0.36451952
4,F11,hsa-miR-194,-0.845791198,-0.19749442
4,E11,hsa-miR-194,0.057787281,-0.334252313
4,G11,hsa-miR-194*,-0.066670286,-0.259596653
4,H11,hsa-miR-195,-0.561517653,-0.518346874
5,A2,ath-miR416,0.113964882,0.147362159
5,B2,cel-miR-243,-0.069866812,0.10638036
5,C2,hsa-miR-195*,0.465976165,-0.737648266
5,E2,hsa-miR-196a,-0.467800738,-0.400482833
